Domain Code,Domain,Area Code (FAO),Code,Area,Element Code,Element,Item Code,Year,Unit,Wheat and products,Rice and products,Barley and poducts,Apples and products,"Aquatic Animals, Others",Aquatic Plants,Bananas,Beer,"Beverages, Alcoholic","Beverages, Fermented",Bovine Meat,"Butter, Ghee",Cephalopods,"Cereals, Other","Citrus, Other",Cloves,Cocoa Beans and products,Coconuts - Incl Copra,Coffee and products,Cream,Crustaceans,Dates,Demersal Fish,Eggs,"Fats, Animals, Raw","Fish, Body Oil","Fish, Liver Oil",Freshwater Fish,"Fruits, Other",Grapefruit and products,Grapes and products (excl wine),Groundnut Oil,Groundnuts,Honey,"Lemons, Limes and products",Maize Germ Oil,"Marine Fish, Other","Meat, Other",Milk - Excluding Butter,"Molluscs, Other",Mutton & Goat Meat,Nuts and products,Oats,"Offals, Edible","Oilcrops Oil, Other",Olive Oil,Olives (including preserved),Onions,"Oranges, Mandarines",Pelagic Fish,Pepper,Pigmeat,Pimento,Plantains,Potatoes and products,Poultry Meat,"Pulses, Other and products",Rape and Mustardseed,Soyabean Oil,Soyabeans,"Spices, Other",Sugar (Raw Equivalent),Sunflowerseed Oil,"Sweeteners, Other",Tea (including mate),Tomatoes and products,"Vegetables, Other",Wine
FBS,Food Balances (2014-),63,EST,Estonia,645,Food supply quantity (kg/capita/yr),2511,2016,kg,57.86,2.61,6.43,15.59,0,0,12.68,101.87,21.66,0,7.47,3.83,0.18,1.36,0.08,0.01,0,0.02,3.82,3.28,2.36,0.1,7.98,12.93,0.17,0,0.01,1.13,19.17,1.34,13.78,0,0.24,0.85,1.83,0.28,0,0.1,270.4,0.51,0.46,1.81,4.06,3.77,3.81,0.42,0.44,5.31,11.89,2.02,0.23,38.27,0.42,0,61.7,21.08,0,0,0.12,0.09,0.47,17.07,1.25,30.05,0.36,13.02,82,14.9
FBS,Food Balances (2014-),63,EST,Estonia,645,Food supply quantity (kg/capita/yr),2511,2017,kg,57.64,2.5,5.87,14.94,0.01,0,14.73,89.25,21.25,0,7.45,3.36,0.15,1.4,0.1,0.01,0,0.03,4.06,1.74,2.95,0.09,7.36,12.38,0.49,0,0,1.36,19.79,1.22,13.86,0,0.25,0.87,1.99,0.28,0,0.11,277.83,0.6,0.46,1.83,4.62,2.68,3.41,0.43,0.53,6.88,13.36,2.3,0.24,34.41,0.44,0.13,66.97,21,0.01,0,0.39,0.1,0.5,17.15,0.81,27.12,0.32,13.98,80.72,15.39
FBS,Food Balances (2014-),63,EST,Estonia,645,Food supply quantity (kg/capita/yr),2511,2018,kg,61.08,2.33,4.86,15.38,0.01,0,15.42,36.49,22.7,0,8.64,3.87,0.15,2.19,0.17,0.01,0,0.06,4.28,0.92,2.94,0.11,7.33,12.68,0.58,0,0,1.36,23.66,1.58,13.61,0,0.28,0.89,1.97,0.52,0,0.13,281.14,0.6,0.47,1.85,3.87,3.29,3.39,0.43,0.5,6.93,14.25,2.29,0.25,37.76,0.45,0,64.17,22.17,0.01,0,0.47,0.15,0.62,18.67,1.22,32.48,0.3,15.21,83.43,16.48
FBS,Food Balances (2014-),67,FIN,Finland,645,Food supply quantity (kg/capita/yr),2511,2014,kg,72.93,4.48,5.21,8.77,0,0,14.66,80.74,3.59,0.15,18.18,6.03,0.03,1.1,0.36,0,0,0.04,11.69,1.72,2.03,0.14,3.08,9.7,0.48,0,0.01,18.42,19.3,0.49,4.61,0,1.12,0.51,1.01,0,1.13,1.22,361.04,0.18,0.55,1.09,4.8,1.27,1.01,0.52,0.58,6.48,14.68,10.95,0.09,35.82,0.07,0.01,59.17,18.5,0.04,0,0,0.2,0.2,28.64,1.01,11.03,0.34,13.99,63.43,11.53
FBS,Food Balances (2014-),67,FIN,Finland,645,Food supply quantity (kg/capita/yr),2511,2015,kg,73.73,4.46,5.37,8.74,0.01,0,17.1,80.56,3.76,0.35,17.69,4.61,0.04,1.1,0.24,0,0,0.03,11.64,6.41,1.75,0.17,2.88,10.13,0.28,0,0.01,17.73,19.16,0.41,4.87,0,1.06,0.51,1.09,0,1.2,1.01,345.45,0.18,0.55,1.03,4.57,1.93,1.79,0.52,0.58,6.48,14.95,11.06,0.09,36,0.07,0.01,58.94,18.45,0.04,0,0,0.2,0.2,28.75,1.01,11.04,0.23,13.54,60.49,11.48
FBS,Food Balances (2014-),67,FIN,Finland,645,Food supply quantity (kg/capita/yr),2511,2016,kg,73.88,4.56,5.53,8.76,0.01,0,17.84,80.94,3.87,0.14,18.07,4.9,0.06,1.1,0.25,0,0,0.03,11.62,6.5,1.65,0.17,3.07,10.73,0.36,0,0.01,17,18.76,0.45,4.66,0,0.93,0.51,1.18,0,1.12,0.82,358,0.2,0.56,1.07,3.42,2.68,1.69,0.53,0.58,6.55,15.61,8.69,0.09,36.1,0.07,0.02,56.68,18.62,0.04,0,0,0.2,0.17,28.67,1.01,11.08,0.23,14.5,62.94,11.7
FBS,Food Balances (2014-),67,FIN,Finland,645,Food supply quantity (kg/capita/yr),2511,2017,kg,74.71,4.59,5.35,8.87,0,0,18.08,80.75,3.56,0.49,18.79,5.17,0.05,1.09,0.54,0,0,0.02,11.71,6.36,1.62,0.21,3.13,10.74,0.29,0,0.01,17.69,18.84,0.48,4.83,0,1.03,0.51,1.25,0,1.23,1.01,353.28,0.2,0.56,1.01,3.42,2.27,0.98,0.53,0.58,6.8,14.08,9.7,0.09,36.17,0.07,0.02,57.07,18.85,0.04,0,0,0.2,0.2,28.75,0.93,11.14,0.26,13.66,61.77,12.05
FBS,Food Balances (2014-),67,FIN,Finland,645,Food supply quantity (kg/capita/yr),2511,2018,kg,70.88,4.62,5.4,8.8,0,0,17.7,73.29,3,0.58,19.26,5.49,0.05,1.08,0.26,0,0,0.03,11.77,6.12,1.62,0.2,3.13,10.77,0.19,0,0.01,17.65,19.63,0.44,4.76,0,1.11,0.51,1.29,0,1.22,1.2,349.47,0.2,0.57,1.02,4,2.46,0.7,0.53,0.58,6.62,15.11,9.68,0.1,37.69,0.07,0.02,56.57,19.4,0.04,0,0,0.2,0.2,29.64,0.93,11.13,0.24,14.17,62.94,12.45
FBS,Food Balances (2014-),68,FRA,France,645,Food supply quantity (kg/capita/yr),2511,2014,kg,115.78,7.06,0.36,9,0.06,0,3.93,26.06,2.21,7.62,21.42,6.43,0.5,0.15,0.11,0,0,0.12,5.22,3.87,3.58,0.2,11.54,12.61,1.32,0.29,0.01,3.91,24.7,1.19,11.54,0.14,1.13,0.54,1.81,0.92,0.21,1.44,175.93,5.77,3.21,3.42,0.58,5.99,1.55,1.73,1.23,5.26,25.15,7.45,0.07,31.48,0.05,0.25,49.67,23.21,0.86,0,3.89,0.16,0.17,34.63,5.63,2.08,0.26,19.47,70.04,39.78
FBS,Food Balances (2014-),68,FRA,France,645,Food supply quantity (kg/capita/yr),2511,2015,kg,120.9,7.41,0.35,9.01,0.09,0,3.98,26.61,2.22,7.64,21.32,6.42,0.51,0.15,0.09,0,0,0.13,5.68,3.35,3.54,0.23,11.67,12.87,1.13,0.26,0.01,3.87,24.74,1.09,10.86,0.19,1.13,0.54,1.9,0.5,0.16,1.29,175.51,5.58,3.21,3.62,0.66,6.08,1.35,1.73,1.51,6.08,24.02,7.21,0.07,31.52,0.05,0.28,49.61,23.22,0.86,0,3.9,0.16,0.17,36.04,5.73,2.06,0.26,19.61,67.52,39.68
